
Currently Loaded Modules:
  1) autotools      4) rocm/6.0.2     7) openmpi4/4.1.5
  2) cmake/3.25.2   5) gnu12/12.2.0   8) hpcfund
  3) prun/2.3       6) ucx/1.14.0     9) rocshmem/1.6.3

 

1, 256, 1
Rank 0, ROC_SHMEM 
Rank 7, ROC_SHMEM 
Rank 5, ROC_SHMEM 
Rank 2, ROC_SHMEM 
Rank 4, ROC_SHMEM 
Rank 1, ROC_SHMEM 
Rank 3, ROC_SHMEM 
Rank 6, ROC_SHMEM 
IN USE - mpi 0/8, roc_shmem 0/8 , ndevices=8,cur=0, GPU_ID=N/A,node=t007-009.hpcfund
max_blocks=1, max_threads=256, iter=1
IN USE - mpi 1/8, roc_shmem 1/8 , ndevices=8,cur=1, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 2/8, roc_shmem 2/8 , ndevices=8,cur=2, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 3/8, roc_shmem 3/8 , ndevices=8,cur=3, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 4/8, roc_shmem 4/8 , ndevices=8,cur=4, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 5/8, roc_shmem 5/8 , ndevices=8,cur=5, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 6/8, roc_shmem 6/8 , ndevices=8,cur=6, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 7/8, roc_shmem 7/8 , ndevices=8,cur=7, GPU_ID=N/A,node=t007-009.hpcfund
peer,3,size,262144, iter, 2, time, 0.208960, bw, 2.336725
peer,3,size,524288, iter, 2, time, 0.355680, bw, 2.745626
peer,3,size,1048576, iter, 2, time, 0.664001, bw, 2.941454
peer,3,size,2097152, iter, 2, time, 1.256961, bw, 3.107699
peer,3,size,4194304, iter, 2, time, 2.445440, bw, 3.194727
peer,3,size,8388608, iter, 2, time, 5.016961, bw, 3.114440
peer,3,size,16777216, iter, 2, time, 10.040324, bw, 3.112454
peer,3,size,33554432, iter, 2, time, 19.853128, bw, 3.148124
peer,4,size,32, iter, 2, time, 0.059360, bw, 0.001004
peer,4,size,64, iter, 2, time, 0.059360, bw, 0.002008
peer,4,size,128, iter, 2, time, 0.059520, bw, 0.004006
peer,4,size,256, iter, 2, time, 0.059360, bw, 0.008033
peer,4,size,512, iter, 2, time, 0.060000, bw, 0.015895
peer,4,size,1024, iter, 2, time, 0.060320, bw, 0.031621
peer,4,size,2048, iter, 2, time, 0.058880, bw, 0.064788
peer,4,size,4096, iter, 2, time, 0.060640, bw, 0.125815
peer,4,size,8192, iter, 2, time, 0.064320, bw, 0.237233
peer,4,size,16384, iter, 2, time, 0.069280, bw, 0.440497
peer,4,size,32768, iter, 2, time, 0.078560, bw, 0.776925
peer,4,size,65536, iter, 2, time, 0.098240, bw, 1.242574
peer,4,size,131072, iter, 2, time, 0.138400, bw, 1.764025
peer,4,size,262144, iter, 2, time, 0.215521, bw, 2.265589
peer,4,size,524288, iter, 2, time, 0.368960, bw, 2.646802
peer,4,size,1048576, iter, 2, time, 0.680321, bw, 2.870892
peer,4,size,2097152, iter, 2, time, 1.304640, bw, 2.994126
peer,4,size,4194304, iter, 2, time, 2.555521, bw, 3.057112
